,0
517,성북구
518,강남구
519,은평구
520,영등포구
521,노원구
522,강남구
523,중랑구
524,양천구
525,강동구
526,중랑구
527,중랑구
528,강동구
529,강동구
530,서대문구
531,양천구
532,강동구
533,강동구
534,서대문구
535,강동구
536,강동구
537,강동구
