번호,사업장명,구,지번주소,좌표정보(X),좌표정보(Y)
1,프로짐,강남구,서울특별시 강남구 논현동 242 51 성부빌딩,203619.737329962,445879.859319977
2,번타임 코리아,강서구,서울특별시 강서구 마곡동 797 7 퀸즈파크텐 508호,-,-
3,(주) 케이디스포츠 스포애니 동묘앞역점,종로구,서울특별시 종로구 숭인동 76 롯데캐슬 천지인,201359.53353905,452395.659064842
4,스포애니 동묘앞역점,종로구,서울특별시 종로구 숭인동 76 롯데캐슬 천지인,201359.53353905,452395.659064842
5,리얼타임 피트니스,중랑구,서울특별시 중랑구 망우동 442 21 까치유치원,208591.021424155,454321.403758328
6,제이디피티샵,관악구,서울특별시 관악구 봉천동 729 32 해태보라매타워,193306.240555398,443221.321009043
7,해밀톤 휘트니스센터,용산구,서울특별시 용산구 이태원동 116 1 지하2층,199357.143999617,448100.802302867
8,에이블짐 신방화역점,강서구,서울특별시 강서구 마곡동 739 1 마곡더블유타워 10층 1001~1007호,183758,451652
9,휘트니스베이 24시 건대점,광진구,서울특별시 광진구 화양동 113 1번지,206278.982112971,449425.131943862
10,(주)비스코 헬스케어,광진구,서울특별시 광진구 자양동 227 7번지 더샵스타시티,206349.675048285,448396.939704285
11,Fitness2.0 PT Studio,양천구,서울특별시 양천구 신정동 995 4번지 302호,187943.595,446944.9
12,비타민헬스휘트니스,영등포구,서울특별시 영등포구 양평동5가 76번지,190394.571819262,448656.726986041
13,브이업짐,강서구,서울특별시 강서구 마곡동 798 12 마곡엠리체 3001302호,-,-
14,바디플렉스짐,강서구,서울특별시 강서구 화곡동 1060 17 지하1층,186014.355926895,449014.442062397
15,FIT U.S.A(피투사),양천구,서울특별시 양천구 목동 404 137번지 2층,188919.01389015,446786.559111612
16,the Fitness LAB,서초구,서울특별시 서초구 방배동 797 24번지 우림빌딩,199596.482123437,443179.818178612
17,짱휘트니스,강동구,서울특별시 강동구 성내동 430 12번지 601호,211680.853759912,447125.42728615
18,뉴크로핏,노원구,서울특별시 노원구 공릉동 389 9번지 화랑빌딩,206659.512758346,458320.518280138
19,M 휘트니스,강북구,서울특별시 강북구 미아동 310 4번지 5층,202301.896655504,457919.42367741
20,MH토탈휘트니스,양천구,서울특별시 양천구 신월동 550 3번지 승일뷰티타워2 10층(1001호~1004호),185962.809546697,446176.170952681
21,벗 명보헬스클럽,중구,서울특별시 중구 인현동1가 102 5번지,199345.537896557,451328.888559506
22,박영길 휘트니스,종로구,서울특별시 종로구 창신동 576번지 ,200889.400582142--,452273.742811659--
23,경복궁휘트니스,종로구,서울특별시 종로구 내자동 1 3번지 ,197482.188408438--,452684.539178659--
24,파고다,종로구,서울특별시 종로구 낙원동 150 1번지 파고다빌딩 ,199028.829510033--,452167.894965375--
25,보령헬스피아,종로구,서울특별시 종로구 원남동 66 21번지 보령빌딩 ,199749.709303956--,452471.681673191--
26,제이휘트니스,종로구,서울특별시 종로구 숭인동 1388번지 동양파라빌 ,201946.86632604-- ,452416.591916256--
27,베네핏,중구,서울특별시 중구 신당동 52 228 준빌딩,201586.751099659,451144.829280191
28,제일메가스포,종로구,서울특별시 종로구 연건동 198 7번지 ,200055.617260646--,452600.848170354--
29,AB휘트니스클럽,종로구,서울특별시 종로구 명륜2가 211번지 유니지오 빌딩 6층 ,199769.96511678-- ,453520.42735819-- 
30,서울YMCA,중구,서울특별시 중구 명동1가 1 1번지 ,198707.250724717--,451387.703445455--
31,에이블짐창신역점,종로구,서울특별시 종로구 창신동 23 76 브라운스톤 지하1층,201258.062657124,452787.132831042
32,주 스포짐,종로구,서울특별시 종로구 내수동 72번지 경희궁의아침 3단지 ,197465.223921125--,452366.613899898--
33,센트로폴리스 피트니스,종로구,서울특별시 종로구 공평동 5 1번지 ,198481.412657615--,452177.123807393--
34,한상현GYM,종로구,서울특별시 종로구 내수동 95번지 경희궁 파크팰리스 ,197329.898847331--,452432.501606302--
35,혁짐,관악구,서울특별시 관악구 봉천동 1685 15,196534.587783352,441771.521576822
36,마음을 읽어주는 휘트니스,금천구,서울특별시 금천구 독산동 1095 한신상가 4층,190140.258408311,439271.814994838
37,필웨이,종로구,서울특별시 종로구 연건동 28 2번지 학생관5 2층 ,199884.542817692--,453159.275389535--
38,원알엠피트니스,종로구,서울특별시 종로구 종로3가 119번지 지하1층 ,199135.532973288--,451976.436039296--
39,PT.ROOT,종로구,서울특별시 종로구 평창동 158 1번지 ,197212.364862058--,456055.205802855--
40,몬스터짐 광화문본점,종로구,서울특별시 종로구 내수동 95번지 경희궁 파크팰리스 ,197329.898847331--,452432.501606302--
41,피티루트,종로구,서울특별시 종로구 구기동 95 16번지 ,196248.34462033-- ,456039.354846116--
42,로얄EMS.PT,종로구,서울특별시 종로구 평창동 158 1번지 글로리아타운 ,197212.364862058--,456055.205802855--
43,스포애니 광화문역점,종로구,서울특별시 종로구 신문로1가 116번지 에스타워 ,197626.497681648--,451938.484384565--
44,바디밸런스,종로구,서울특별시 종로구 내수동 95번지 107호,197329.898847331--,452432.501606302--
45,100일 PT 샵,종로구,서울특별시 종로구 사직동 9번지 ,197181.393301659--,452458.826651573--
46,디앤브이 피트니스,종로구,서울특별시 종로구 삼청동 12번지 ,198298.906169446--,453910.967262018--
47,더타임,종로구,서울특별시 종로구 교남동 47번지 ,196810.084509451--,451797.477709718--
48,종로테니스교실,종로구,서울특별시 종로구 필운동 227번지 ,197245.494046903--,452668.607698393--
49,정피트니스,관악구,서울특별시 관악구 신림동 1666,191182.000480527,442181.791890078
50,스페이스본 휘트니스센터,종로구,서울특별시 종로구 사직동 9번지 광화문풍림스페이스본 ,197181.393301659--,452458.826651573--
51,착한휘트니스(신설동점),종로구,서울특별시 종로구 숭인동 766번지 종로청계힐스테이트 상가 나동 B01호 ,201798.834918812--,452637.556986205--
52,휴먼웰니스 피티 짐,종로구,서울특별시 종로구 종로2가 19번지 ,198755.466813833--,452015.067220018--
53,(재)케이티그룹희망나눔재단 광화문 west,종로구,서울특별시 종로구 세종로 100번지 ,197982.889600104--,452206.123138933--
54,711GYM,종로구,서울특별시 종로구 통의동 66번지 ,197490.24199476-- ,452816.597229114--
55,스포짐,종로구,서울특별시 종로구 서린동 88번지 관정빌딩 지하2층 ,198284.392181266--,451901.406014861--
56,필라테스.피티.시도하다,종로구,서울특별시 종로구 이화동 21번지 ,200383.296935137--,452655.39803143-- 
57,(주)케이에스스포짐,종로구,서울특별시 종로구 견지동 110번지 종로1가 대성 스카이렉스 ,198386.829870878--,452237.303784872--
58,클래식바디짐,종로구,서울특별시 종로구 창신동 23 816번지 창신이수아파트 ,201228.579823795--,452855.249637866--
59,M2 GYM,종로구,서울특별시 종로구 평창동 76번지 지하1층 ,197725.951068718--,456251.740629682--
60,다함PT,종로구,서울특별시 종로구 종로1가 24번지 ,198150.300374121--,452019.212642931--
61,홍핏(HONG FIT),종로구,서울특별시 종로구 내자동 5번지 목천빌딩 ,197448.620265418--,452672.128133671--
62,Wellness K(웰니스 케이),종로구,서울특별시 종로구 소격동 48번지 ,198238.680070987--,453158.398402281--
63,짐피닉스,종로구,서울특별시 종로구 교남동 47 3번지 ,196801.190594539--,451789.694049663--
64,RUN 광화문,종로구,서울특별시 종로구 내수동 167번지 대우빌딩 ,197567.93800572-- ,452276.454633376--
65,금보개발(주)오라카이 대학로 호텔,종로구,서울특별시 종로구 원남동 49 17번지 오라카이 대학로 호텔 ,199821.363678095--,452603.475535058--
66,뉴)월드스포랜드,중구,서울특별시 중구 흥인동 13 1번지 ,201442.039019479--,451619.845549151--
67,(주)바디스타,중구,서울특별시 중구 마른내로 34 (초동 (주)케이티앤지을지로타워),199190.880726593--,451328.700167218--
68,CM헬스,중구,서울특별시 중구 충무로3가 49번지 엘크루 메트로시티 ,199279.677406441--,451120.517700578--
69,S바디케어프라이빗짐,중구,서울특별시 중구 다산로36길 지하 53 (신당동),201508.033038745--,451026.785607118--
70,피트니스 월드,중구,서울특별시 중구 만리동1가 62 7번지 서울역 디오빌 ,197034.02843741-- ,450305.644873169--
71,국제프레야스포츠,중구,서울특별시 중구 회현동1가 202 0번지 제일빌딩5층 622호 ,-,-
72,메사 휘트니스 케어&골프,중구,서울특별시 중구 회현동1가 204번지 메사빌딩 13층 1302호,198129.435542814--,450900.239718295--
73,FRASER PLACE,중구,서울특별시 중구 의주로1가 202번지 지하1층 ,197249.283866944--,451147.749970952--
74,장충헬스클럽,중구,서울특별시 중구 장충동2가 26 1번지 지하1층 ,200335.860431937--,450943.104390493--
75,올포원 휘트니스,중구,서울특별시 중구 을지로5가 39 1번지 삼성파크빌 지하2층 ,200174.995848544--,451675.501825666--
76,고투GO TO 시청,중구,서울특별시 중구 서소문동 47 2번지 102호,197591.838492458--,451245.243387144--
77,손기정문화체육센터,중구,서울특별시 중구 만리동2가 6 1번지 ,196823.64579836-- ,450368.468433529--
78,바디플렉스짐,중구,서울특별시 중구 충무로1가 25 5번지 고려대연락타워 지하2층 ,198388.365585519--,450963.241815173--
79,잇즈(ITZ)핏,중구,서울특별시 중구 신당동 855번지 신당 파인힐 하나유보라 ,202128.136971071--,451334.458176582--
80,세심한 PT studio,중구,서울특별시 중구 흥인동 91번지 흥화브라운 오피스텔 ,201432.508538399--,451502.723372591--
81,비치바디,중구,서울특별시 중구 황학동 1596번지 ,201985.829607973--,451869.587314453--
82,엘리트핏24,중구,서울특별시 중구 남대문로5가 84 11번지 연세대학교 세브란스빌딩 ,197612.995083649--,450539.857693464--
83,피티니스,광진구,서울특별시 광진구 화양동 9 4 지층,206080.253438298,448924.044209006
84,골든크라운 크로스핏 서대문역,중구,서울특별시 중구 정동 25 2번지 ,197220.244951952--,451701.578492985--
85,3S gym,중구,서울특별시 중구 신당동 288 17번지 ,201267.806155823--,450937.698445741--
86,시청 휘트니스,중구,서울특별시 중구 순화동 2 6번지 N빌딩 ,197395.761334091--,451285.616477562--
87,DDPT&PILATES,중구,서울특별시 중구 신당동 292 95번지 ,201164.071014288--,450969.573176111--
88,피엘유,중구,서울특별시 중구 신당동 226 3번지 ,200893.119043422--,451354.677273034--
89,시그마스포츠클럽,중구,서울특별시 중구 태평로1가 84번지 파이낸스빌딩 ,197963.789217064--,451793.816975812--
90,주식회사 태평로 바디스타,중구,서울특별시 중구 태평로2가 150번지 부영 태평빌딩 ,197728.372836574--,451030.853936909--
91,제일헬스,중구,서울특별시 중구 회현동1가 202 5번지 ,198162.211231825--,450968.535505767--
92,왕성체육관,중구,서울특별시 중구 북창동 70 1번지 ,197947.537747611--,451146.22346983-- 
93,삼일,중구,서울특별시 중구 남창동 168 7번지 ,197951.529011969--,450599.807638881--
94,매일온천,중구,서울특별시 중구 인현동1가 46 3번지 ,199402.469073595--,451497.234574572--
95,(주)타워호텔,중구,서울특별시 중구 장충동2가 산 5 5번지 ,200193.232424569--,449809.744684888--
96,경성헬스클럽,중구,서울특별시 중구 광희동1가 142번지 현대빌딩 5층동 ,200498.497456559--,451494.706799835--
97,신당헬스클럽,중구,서울특별시 중구 황학동 717번지 ,201724.04001526-- ,451533.911551915--
98,비치바디짐,중구,서울특별시 중구 흥인동 8번지 ,201374.79637073-- ,451714.618337112--
99,2002헬스타운,중구,서울특별시 중구 중림동 398 1번지 ,196655.581895878--,450746.19907568-- 
100,웰리스,중구,서울특별시 중구 남대문로5가 541번지 지하1층 ,197620.676444642--,450361.506112161--
101,노블휘트니스,성동구,서울특별시 성동구 성수동1가 706 쌍용상가 A동 B01호,204093.39625466,449695.084129637
102,마인PT & 필라테스 신당청구점,중구,서울특별시 중구 신당동 48 1번지 ,201508.033038745--,451026.785607118--
103,더블에스 휘트니스,중구,서울특별시 중구 충무로2가 60 3번지 성창빌딩 ,198911.806393959--,451032.316115194--
104,올록볼록 PT Studio,중구,서울특별시 중구 중림동 200번지 중림동 삼성 사이버 빌리지 ,196864.942838297--,450649.69804319-- 
105,(주)머슬컴퍼니 머슬프렌즈짐,중구,서울특별시 중구 흥인동 13 1번지 ,201442.039019479--,451619.845549151--
106,라이온스헬스클럽,중구,서울특별시 중구 충무로2가 50 6번지 ,199023.967503662--,451105.474557896--
107,엠.티.엠 휘트니스클럽,중구,서울특별시 중구 명동2가 31 1번지 ,198619.38819773-- ,451135.740279961--
108,파크짐,중구,서울특별시 중구 신당동 368 3번지 ,200802.727701072--,450100.127638921--
109,황금스파,중구,서울특별시 중구 황학동 2545번지 롯데베네치아 메가홀 지하2층 2002 ,201823.908977364--,452076.818664092--
110,제이엘스포츠,중구,서울특별시 중구 명동1가 7 12번지 태흥빌딩 14층 ,198643.162277846--,451312.338669161--
111,(주)센터원웰니스,중구,서울특별시 중구 수하동 67번지 ,198620.934275413--,451681.95803574-- 
112,프로헬스크럽,중구,서울특별시 중구 신당동 152 6번지 ,201855.607887599--,451348.230836171--
113,(주)파크짐,중구,서울특별시 중구 신당동 ,201384.456643466--,451334.342960082--
114,(주)더한 오리엔스 호텔 & 레지던스,중구,서울특별시 중구 예장동 2 19번지 지하2층 ,199159.933187356--,450864.449621814--
115,엠피트니스,중구,서울특별시 중구 정동 34 5번지 배재정동빌딩 1층 A동 ,197481.848548378--,451269.851755861--
116,이로운 퍼스널 트레이닝 스튜디오,중구,서울특별시 중구 충무로3가 51 7번지 3층 ,199259.517238723--,451068.226824754--
117,휘트니스센터,중구,서울특별시 중구 남대문로4가 17 7번지 ,197847.754499522--,451011.231861517--
118,RX FITNESS,중구,서울특별시 중구 신당동 52 299번지 ,201411.562664901--,451280.030092226--
119,(주)파크짐,중구,서울특별시 중구 퇴계로 307 (광희동1가 광희빌딩),200437.000174126--,451335.718987721--
120,새로나휘트니스,중구,서울특별시 중구 남창동 1 2번지 ,198079.694295498--,450952.174489406--
121,토로짐,중구,서울특별시 중구 무교동 19 0번지 ,198123.904576393--,451671.110698942--
122,한신헬스클럽,중구,서울특별시 중구 회현동1가 181 6번지 ,198099.980632873--,450699.941748513--
123,디자인휘트니스,중구,서울특별시 중구 태평로2가 366 1번지 팰리스빌딩 34층 ,197838.506308443--,451380.770303032--
124,명동사우나헬스,중구,서울특별시 중구 명동2가 2 7번지 ,198660.385412631--,451251.330448808--
125,Aja sporex,중구,서울특별시 중구 회현동1가 204번지 메사빌딩 13층 ,198129.435542814--,450900.239718295--
126,우리헬스,중구,서울특별시 중구 회현동1가 203번지 ,198296.228869176--,450773.596976541--
127,엠비휘트니스,중구,서울특별시 중구 신당동 361 24번지 ,200799.425969999--,450188.654390401--
128,시립서울청소년센터,중구,서울특별시 중구 수표동 27 2번지 ,199096.572002403--,451688.818194264--
129,Medi & Fit (메디 앤 핏),중구,서울특별시 중구 신당동 340 80번지 ,201009.880148149--,450540.559161681--
130,(주)파크짐,중구,서울특별시 중구 봉래동1가 10번지 ,197614.692481764--,450800.758274337--
131,스카이 P.P,중구,서울특별시 중구 쌍림동 25 6번지 ,200299.795804491--,451363.616679012--
132,Re Studio,중구,서울특별시 중구 황학동 ,201651.19185200000-,452331.62704200000-
133,휴레스트웰빙클럽,중구,서울특별시 중구 명동2가 31 1번지 ,198619.38819773-- ,451135.740279961--
134,맨하탄휘트니스,중구,서울특별시 중구 남산동2가 6 1번지 ,198675.840407982--,450901.237317642--
135,헬스GXPT스피닝,중구,서울특별시 중구 신당동 152 1번지 4층5층 ,201792.505387093--,451365.069314482--
136,(주)이아스피스 명동센터,중구,서울특별시 중구 명동2가 31 1번지 ,198619.38819773-- ,451135.740279961--
137,마이트리스파,중구,서울특별시 중구 순화동 151번지 b201호,197462.198757043--,450878.211786274--
138,PGA스포렉스,중구,서울특별시 중구 충무로3가 43번지 ,199273.815368546--,451144.90452668-- 
139,스포짐,중구,서울특별시 중구 태평로2가 70 5번지 해남빌딩 2층 ,197876.042588141--,451080.109295385--
140,바디스타 짐,중구,서울특별시 중구 을지로6가 산 18 35번지 8층 ,-,-
141,Banyan Tree Club&SPA Seoul Fitness club,중구,서울특별시 중구 장충동2가 산 5 5번지 ,200193.232424569--,449809.744684888--
142,88헬스클럽,중구,서울특별시 중구 남대문로4가 3 5번지 ,197962.180314282--,450902.958064856--
143,엘리트짐,중구,서울특별시 중구 충무로4가 산 306번지 남산센트럴상가 지하1층B07호 ,-,-
144,웰리스휘트니스,중구,서울특별시 중구 순화동 산 1 170번지 ACE타워 지하1층 ,-,-
145,을지 휘트니스,중구,서울특별시 중구 을지로3가 산 315 4번지 을지빌딩4층 ,-,-
146,파크짐,중구,서울특별시 중구 신당동 295 27번지 ,201114.378396275--,450876.543087634--
147,위더스헬스클럽,중구,서울특별시 중구 필동2가 98 1번지 ,199581.368046931--,450732.918935016--
148,현대헬스,중구,서울특별시 중구 신당동 52 46번지 ,201566.851816484--,451111.306977671--
149,골드짐,중구,서울특별시 중구 장충동1가 31 5번지 ,200526.453205298--,451061.489091589--
150,코리아나,중구,서울특별시 중구 태평로1가 61 1번지 코리아나호텔 4층 ,197867.156641113--,451779.880897566--
151,라이프 헬스 클럽,중구,서울특별시 중구 황학동 73 1번지 ,201637.855135326--,451945.75542127-- 
152,중앙신협휘트니스클럽,중구,서울특별시 중구 서소문동 58 9번지 ,197511.245797769--,451114.28520546-- 
153,장교 휘트니스 센터,중구,서울특별시 중구 장교동 1 0번지 장교빌딩1층 ,198744.433228989--,451677.065126229--
154,타라휘트니스클럽,중구,서울특별시 중구 신당동 844 0번지 스포츠센타내204 1 ,200750.455125653--,449638.824308081--
155,골드스포츠,중구,서울특별시 중구 을지로3가 315 4번지 ,199207.538777842--,451529.342819592--
156,남문헬스클럽,중구,서울특별시 중구 남대문로5가 36 1번지 ,197692.601616889--,450709.793991215--
157,동남헬스클럽,중구,서울특별시 중구 주교동 135 5번지 ,199729.851187123--,451802.546064979--
158,바비엥 휘트니스클럽,중구,서울특별시 중구 의주로1가 25 10번지 ,197098.710590401--,451445.394000661--
159,팜 휘트니스,중구,서울특별시 중구 을지로3가 315 4번지 을지빌딩 4층 ,199207.538777842--,451529.342819592--
160,Fit Club,용산구,서울특별시 용산구 이태원동 646 204번지 ,198840.994801867--,448516.598451798--
161,바나나필라 피티,용산구,서울특별시 용산구 한남동 261 6번지 ,200648.866223783--,447953.839063087--
162,Beautiful Evolution,용산구,서울특별시 용산구 보광동 216 88번지 ,199740.075541137--,447070.840145448--
163,에스퍼스널트레이닝,용산구,서울특별시 용산구 용산동5가 24 1번지 ,197527.309705578--,446787.344790036--
164,PENTACLE,용산구,서울특별시 용산구 동자동 12번지 ,197593.304078325--,450126.951675139--
165,레브트레이닝,용산구,서울특별시 용산구 한남동 1 307번지 ,200864.256943225--,447941.361239692--
166,스포벡,용산구,서울특별시 용산구 갈월동 101 45번지 ,197485.387448723--,448832.284595196--
167,와가짐,용산구,서울특별시 용산구 이촌동 300 301번지 삼익아파트 ,197811.954980013--,446248.255892098--
168,칼라퍼스널트레이닝,용산구,서울특별시 용산구 원효로1가 39 10번지 ,197217.991619464--,448723.232518462--
169,프라이빗 웰니스,용산구,서울특별시 용산구 한남동 740 1번지 ,200051.036405453--,448464.581422577--
170,H 스튜디오,용산구,서울특별시 용산구 한남동 79 3번지 ,200502.179579742--,447861.95859763-- 
171,반트짐,용산구,서울특별시 용산구 이촌동 302 52번지 ,197221.439324261--,446524.508385914--
172,드래곤힐스파휘트니스클럽,용산구,서울특별시 용산구 한강로3가 40 713번지 4층 ,196755.916741402--,447229.993629727--
173,GOTO 용산점,용산구,서울특별시 용산구 한강로3가 16 85번지 GS한강에클라트 ,196005.836412851--,447699.758814725--
174,AK운동맞춤센터,용산구,서울특별시 용산구 용산동2가 23번지 ,198767.690948596--,449149.320575342--
175,우노 휘트니스클럽,용산구,서울특별시 용산구 보광동 260 8번지 지상3층 ,199955.429742269--,447219.161582186--
176,동국스포츠,용산구,서울특별시 용산구 원효로4가 142 1번지 2.3층 ,195556.853873045--,447925.908209588--
177,리콥 웰니스센터,용산구,서울특별시 용산구 한남동 657 201번지 ,200477.785288312--,448010.408774762--
178,J헬스클럽,용산구,서울특별시 용산구 한남동 631 5번지 4층 ,200431.145594386--,447763.414163072--
179,스카이 휘트니스클럽,용산구,서울특별시 용산구 남영동 127 1번지 2층3층 ,197573.417262303--,448795.649603715--
180,에이치 앤 휘트니스,용산구,서울특별시 용산구 한남동 96 3번지 신성미소시티 지하1층 ,200559.36615505-- ,447696.887165762--
181,밸런스 핏,용산구,서울특별시 용산구 청파동3가 111 9번지 캠퍼스프라자 4층 ,197059.739243751--,449146.256652348--
182,메가짐,용산구,서울특별시 용산구 한강로2가 2 8번지 ,197257.765183997--,447772.298383734--
183,스포짐옐로우 이촌점,용산구,서울특별시 용산구 이촌동 300 21번지 유일빌딩 지하1층 ,197934.797949583--,446233.81723078-- 
184,웨슬리짐,관악구,서울특별시 관악구 봉천동 1601 23 4층,196004.977409783,441952.163703792
185,위드짐 한남점(WITHGYM),용산구,서울특별시 용산구 한남동 653 95번지 2층 ,200092.677379313--,447910.869135507--
186,센티넬 크로스핏 한남1(Sentinel CrossFit Hannam),용산구,서울특별시 용산구 한남동 635 1번지 지하1층 ,200506.526414837--,447984.668766655--
187,동서 골프&휘트니스,용산구,서울특별시 용산구 청파동1가 180 24번지 ,197332.373328108--,449484.73780639-- 
188,위너핏PT스튜디오,용산구,서울특별시 용산구 남영동 61 4번지 ,197521.687731773--,449024.318475909--
189,스포짐,용산구,서울특별시 용산구 문배동 40 31번지 ,197100.630224061--,448406.333214499--
190,바디컨설팅,용산구,서울특별시 용산구 갈월동 66번지 신아빌딩 ,197483.880256526--,449240.366693278--
191,TIM GYM,용산구,서울특별시 용산구 한남동 630 9번지 THE VIII(갈2:20) ,200449.713090044--,447795.126270551--
192,에이블짐 이태원역점,용산구,서울특별시 용산구 이태원동 124 1번지 준아트빌 ,199655.863118907--,448082.819066736--
193,Sanctuary,용산구,서울특별시 용산구 동빙고동 7 48번지 뉴포트 5층 ,199267.31113553-- ,447327.653724837--
194,F45 트레이닝 한남,용산구,서울특별시 용산구 한남동 258번지 현대리버티하우스 ,200697.42588055-- ,447925.577361706--
195,망고짐,용산구,서울특별시 용산구 남영동 61 4번지 3층 ,197521.687731773--,449024.318475909--
196,오아핏,용산구,서울특별시 용산구 청파동2가 67 6번지 지층 ,197020.079403078--,449199.411871251--
197,ONE MORE,용산구,서울특별시 용산구 한남동 736 8번지 3층 ,199766.158165623--,448048.145770696--
198,바나나휘트니스24,용산구,서울특별시 용산구 한남동 261 6번지 4층 402호 ,200648.866223783--,447953.839063087--
199,스포벡휘트니스,용산구,서울특별시 용산구 남영동 17 1번지 참빛빌딩 지하1층 ,197504.647924839--,449160.021904876--
200,SY GYM,관악구,서울특별시 관악구 봉천동 37 35,196140.044751869,442669.383501785
201,진핏퍼스널트레이닝,용산구,서울특별시 용산구 한남동 707 36번지 한남프라자 4층 ,200506.187313451--,448146.173245501--
202,짐나우 퍼스널트레이닝,용산구,서울특별시 용산구 한남동 790 3번지 1층 ,200182.74105199-- ,449041.567341809--
203,라온휘트니스,용산구,서울특별시 용산구 효창동 5 121번지 지하2층 ,196542.935666666--,448603.573333334--
204,시크모어 웰니스 스튜디오,용산구,서울특별시 용산구 한남동 568 241번지 나성빌딩 101호,200363.446420744--,448409.499002327--
205,랜스앤제이 퍼스널 트레이닝 스튜디오,용산구,서울특별시 용산구 한남동 1 42번지 3층 ,200697.42588055-- ,447925.577361706--
206,유즈웰(USEWELL),용산구,서울특별시 용산구 한남동 72 1번지 ,200628.554655257--,448024.720455877--
207,제이짐,용산구,서울특별시 용산구 보광동 217 21번지 ,199732.532144261--,447095.440181782--
208,더블에이 이촌,용산구,서울특별시 용산구 이촌동 302 61번지 ,197138.670479641--,446538.290693946--
209,피트 트레이닝센터,용산구,서울특별시 용산구 서빙고동 241 94번지 ,198961.298107185--,446302.326472725--
210,파프짐,용산구,서울특별시 용산구 한남동 33 4번지 ,200890.057021973--,448113.004703214--
211,만리 체육관,용산구,서울특별시 용산구 서계동 260 1번지 ,196716.165873094--,449892.557718372--
212,찰스짐,용산구,서울특별시 용산구 이촌동 300 16번지 (주)서울스튜디오 ,197965.084091132--,446221.69071399-- 
213,빅짐,용산구,서울특별시 용산구 동빙고동 28 15번지 1층 ,199588.771403111--,446968.716291554--
214,후핏,용산구,서울특별시 용산구 이촌동 300 322번지 201호,197906.606203557--,446270.376661762--
215,스포짐 앤 이엠파워,용산구,서울특별시 용산구 한남동 258번지 현대리버티하우스 ,200697.42588055-- ,447925.577361706--
216,판크 트레이닝클럽,용산구,서울특별시 용산구 한남동 76 42번지 남한빌딩 ,200524.309913718--,447971.919001944--
217,Fit In Cool,용산구,서울특별시 용산구 한남동 657 45번지 ,200249.924681718--,447955.703373239--
218,팀레드,용산구,서울특별시 용산구 원효로1가 39 6번지 ,197184.30581248-- ,448684.329156925--
219,분더바 짐(Wunderbar GYM),용산구,서울특별시 용산구 이촌동 300 27번지 307호,197450.277644237--,446437.197878548--
220,시티짐 답십리,성동구,서울특별시 성동구 용답동 62 2번지 인암빌딩(지하2층) ,204722.109659204--,451439.816099616--
221,포시즌 휘트니스,성동구,서울특별시 성동구 행당동 168 1번지 6층 ,203292.151898869--,451267.730901002--
222,스타트 짐,성동구,서울특별시 성동구 성수동2가 561 1번지 승재빌딩 4층 ,204799.750078838--,448317.872400495--
223,풍림휘트니스,성동구,서울특별시 성동구 하왕십리동 1061번지 ,202167.126656256--,450743.706933348--
224,건강과땀 휘트니스센타,성동구,서울특별시 성동구 행당동 17번지 ,203684.127182478--,450698.570810848--
225,인피니티 퍼스널 트레이닝,성동구,서울특별시 성동구 금호동1가 481 5번지 ,201772.807083568--,450250.366445197--
226,슈퍼코어,강남구,서울특별시 강남구 대치동 901 67 성도빌딩,204916.440457269,446686.982568976
227,D_GYM,성동구,서울특별시 성동구 성수동1가 13 155번지 ,204219.253396534--,449539.516830912--
228,커브스 금호클럽,성동구,서울특별시 성동구 금호동4가 544번지 ,201939.3500876---,449482.978412921--
229,테라피티,성동구,서울특별시 성동구 성수동1가 13 135번지 ,204205.084178091--,449596.443563868--
230,위드짐 금호점(WITHGYM),성동구,서울특별시 성동구 금호동4가 56 1번지 힐스테이트 금호 B1층 20 8호 20 9호 상가동 ,202188.303862016--,449262.354630991--
231,피네테스,성동구,서울특별시 성동구 옥수동 244 11번지 4층 ,201059.703833592--,448944.218160194--
232,GT 휘트니스,성동구,서울특별시 성동구 용답동 235 10번지 지하1층 ,205810.019176623--,450921.68711882-- 
233,허니바디 스포츠,성동구,서울특별시 성동구 성수동1가 13 436번지 ,204235.838240342--,449596.823422643--
234,메디앤핏,성동구,서울특별시 성동구 홍익동 396 1번지 김원자산부인과 2층 ,202608.896570467--,451498.515986848--
235,(주)넉아웃,성동구,서울특별시 성동구 성수동1가 685 450번지 ,203520.351688406--,449396.290427768--
236,아센 휘트니스 헬스클럽,성동구,서울특별시 성동구 금호동4가 800번지 대우(아)상가 201호 ,201669.803556903--,449301.451523245--
237,BAN(반),성동구,서울특별시 성동구 금호동1가 633번지 ,202326.470897024--,449954.683065141--
238,이루어짐 헬스,성동구,서울특별시 성동구 성수동2가 289 257번지 ,204939.155835935--,449221.773516977--
239,바른몸 PT STUDIO,성동구,서울특별시 성동구 옥수동 528번지 ,201157.877298502--,449563.280012747--
240,파크짐,성동구,서울특별시 성동구 행당동 287 15번지 ,202988.299644972--,450991.695797571--
241,탑핏(TOPFIT),성동구,서울특별시 성동구 성수동2가 315 4번지 MG빌딩 B1층 ,204905.93839818-- ,448974.447109195--
242,스타트짐,성동구,서울특별시 성동구 행당동 286 18번지 ,202878.711627512--,451058.262245874--
243,파크짐,성동구,서울특별시 성동구 행당동 376번지 ,202799.275304092--,450325.895701664--
244,퀸스테이지,성동구,서울특별시 성동구 성수동2가 289 20번지 ,204764.658079784--,449437.628334972--
