번호,사업장명,구,지번주소,좌표정보(X),좌표정보(Y)
1553,서울대학교 Double S Fitness,관악구,서울특별시 관악구 봉천동 산 4 2번지 900동 B2호,196467.062244503--,439809.669640911--
1554,자마이카 짐,관악구,서울특별시 관악구 신림동 1422 5 11층12층,193746.833837509,442510.775085572
1555,크로스핏 핏불,중구,서울특별시 중구 수표동 56 1 강남빌딩,198994.634641641,451642.776625769
1556,HIP GYM,관악구,서울특별시 관악구 신림동 246 32,194445.666172335,440777.414689275
1557,JS GYM,관악구,서울특별시 관악구 봉천동 862 10 301호,195689.700662469,442020.136028105
1558,제임스킬짐,관악구,서울특별시 관악구 봉천동 863 2번지 3층 ,195694.475862559--,441965.135990746--
1559,얼티밋크로스핏 난곡점,관악구,서울특별시 관악구 신림동 1474 14번지 ,192267.416974047--,442125.650465587--
1560,곰짐(Gom Gym),관악구,서울특별시 관악구 신림동 1544번지 ,194282.675888713--,440707.623024621--
1561,텐퍼센트 짐,관악구,서울특별시 관악구 봉천동 464 2번지 ,195328.996907527--,442754.358422417--
1562,With Gym(위드짐),관악구,서울특별시 관악구 신림동 246 1번지 ,194468.058094711--,440777.999708551--
1563,Re:BODY 헬스 365,관악구,서울특별시 관악구 봉천동 869 3번지 프라비다1 ,195623.762755228--,442080.413436273--
1564,강남역2호점 스포애니 주)케이디스포츠,서초구,서울특별시 서초구 서초동 1330 16 나산스위트 지하1층,202448.275431433,443505.790046604
1565,PHOENIX 휘트니스 클럽,관악구,서울특별시 관악구 신림동 1538 10,194395.383092327,440722.050107279
1566,짐아서 휘트니스,성동구,서울특별시 성동구 성수동1가 22 5 경동빌딩,204269.337017327,449119.29016433
1567,고투(GOTO) 서울대,관악구,서울특별시 관악구 봉천동 874 9 백광빌딩 지하12층,195450.706972711,442195.734658875
1568,은천점 스포애니 주)케이디스포츠,관악구,서울특별시 관악구 봉천동 937 15 지하 1층,194719.981415722,442674.193730756
1569,위트짐,양천구,서울특별시 양천구 목동 722 1 2층,187909.577234823,448552.886115153
1570,ESC(elite sporst conditioning GYM),관악구,서울특별시 관악구 봉천동 1679 7번지 ,196387.83963757-- ,441884.686807457--
1571,트윈PT,관악구,서울특별시 관악구 봉천동 1658 4번지 벽천빌딩 ,196742.900141418--,441605.790320829--
1572,에이오 짐,관악구,서울특별시 관악구 신림동 1421 63,193761.462122181,442552.376302214
1573,크로스핏 하쿠나마타타 신림,관악구,서울특별시 관악구 신림동 1421 23번지 프라임빌 ,193844.960230375--,442560.77824654-- 
1574,클 필라테스 플러스 피티,동대문구,서울특별시 동대문구 장안동 368 4,206279.689993328,452172.453180244
1575,텐 퍼센트(TEN PERCENT),관악구,서울특별시 관악구 봉천동 501 1번지 ,195204.331969991--,442787.084757058--
1576,얼티밋크로스핏 이수점,동작구,서울특별시 동작구 사당동 1010 28 자매빌딩,198198.9077039,442193.202544137
1577,채육관,관악구,서울특별시 관악구 봉천동 196 11 스카이빌,196751.039984113,441401.929194321
1578,fitness SUIT,관악구,서울특별시 관악구 신림동 1515 5 신림빌딩 지하1층 2~3층,194289.280781099,440925.014818541
1579,시즌온짐,관악구,서울특별시 관악구 봉천동 851 3,195888.014021964,442308.732952529
1580,더 스탠다드 짐,강동구,서울특별시 강동구 고덕동 501 5 고덕크리닉,213744.067179644,450949.406518618
1581,에이투짐,광진구,서울특별시 광진구 자양동 657 5 지하1층,207386.983040962,447934.708019366
1582,맥스휘트니스,은평구,서울특별시 은평구 역촌동 30 29 효성빌딩 2층,192747.460555813,455697.044769414
1583,우성A휘트니스,서초구,서울특별시 서초구 서초동 1336번지 지하1층 ,202444.728227145--,443111.768412332--
1584,마하헬스크럽,서초구,서울특별시 서초구 방배동 451 26번지 2층 ,198492.646713232--,441757.002350556--
1585,휘트니스에프엠 교대점,서초구,서울특별시 서초구 서초동 1674 1번지 지1층 ,201332.854835485--,443543.915001976--
1586,짐홀릭,서초구,서울특별시 서초구 서초동 1648 16번지 ,201706.455662454--,443111.317263935--
1587,썬더짐,서초구,서울특별시 서초구 서초동 1685 3번지 아크로비스타상가 상가동 L 134호,201107.634736928--,443999.067092566--
1588,피트니스 프렌즈,서초구,서울특별시 서초구 잠원동 16 1번지 잠원빌딩 ,201358.354809041--,445905.630636194--
1589,발할라짐,서초구,서울특별시 서초구 반포동 107 100번지 ,199604.609614465--,443978.147106113--
1590,그린짐,서초구,서울특별시 서초구 방배동 537 3번지 ,198938.432053277--,441769.625257149--
1591,한전아트센터스포츠클럽,서초구,서울특별시 서초구 서초동 1355번지 ,202406.470363348--,442611.972829952--
1592,국가대표 소유창 휘트니스,서초구,서울특별시 서초구 강남대로 617 (잠원동 대양빌딩 4/5/6층),201599.666249046--,446069.805589775--
1593,우성헬스 2,서초구,서울특별시 서초구 서초동 1624 1번지 지하1층 ,201247.715304571--,442893.421443575--
1594,휘트니스짐,서초구,서울특별시 서초구 서초동 1459 12번지 외3필지 (지하1층) ,200995.871625469--,442382.392392964--
1595,SH메디휘트니스,서초구,서울특별시 서초구 양재동 11 17번지 한솔로이젠트 B01 ,203172.412230317--,442476.415043286--
1596,피트니스파이브,서초구,서울특별시 서초구 서초동 1685 8번지 G five B112호 B113호 ,201386.338220173--,443689.075119969--
1597,애플짐반포점,서초구,서울특별시 서초구 반포동 19 1번지 르본시티 2층 ,200115.143202807--,444741.437478089--
1598,박PT,서초구,서울특별시 서초구 서초동 1640 8번지 맥스빌딩 ,201637.516510302--,443495.624138964--
1599,온유어짐,강남구,서울특별시 강남구 신사동 613 3,202594.835608083,447221.749701177
1600,클린핏(Klean Fit),서초구,서울특별시 서초구 서초동 1443 28번지 ,201624.915287804--,442571.964880003--
1601,코아텔휘트니스클럽,서초구,서울특별시 서초구 서초동 1330 0번지 지하2층 ,202395.888113518--,443528.815453782--
1602,대한퍼스널트레이닝,서초구,서울특별시 서초구 반포동 705 6번지 미성빌딩4층 ,201693.233470175--,445310.978149977--
1603,헬싱타운,서초구,서울특별시 서초구 양재동 1 26번지 성문빌딩 지1층 ,203389.631843597--,442519.731564025--
1604,멋짐헬스PT,서초구,서울특별시 서초구 서초동 1580 6번지 지하1층 ,201038.268003936--,442863.486446246--
1605,스카이스포츠,서초구,서울특별시 서초구 서초동 1439 1번지 (지1층) ,201832.989432191--,442665.670826317--
1606,타워 휘트니스(TOWER FITNESS),서초구,서울특별시 서초구 서초동 1554 4번지 (지1층) ,200879.824290836--,443362.585459274--
1607,휴메이크 휘트니스,서초구,서울특별시 서초구 서초동 1337 20번지 대륭서초타워(지2층) ,202559.861737709--,443317.21602255-- 
1608,레드준,강남구,서울특별시 강남구 역삼동 746 PMK 빌딩,203295.273321016,443933.553578166
1609,딸기짐,서초구,서울특별시 서초구 방배동 783 24번지 (4층) ,198448.680593311--,443312.729013243--
1610,라스포짐,서초구,서울특별시 서초구 서초동 1354 5번지 (지하1층) ,202539.439751502--,442463.656416922--
1611,안전지대 휘트니스,서초구,서울특별시 서초구 방배동 753 5번지 (지하1층) ,198485.718658225--,443871.188105515--
1612,우정스포츠,서초구,서울특별시 서초구 서초동 1328 11번지 지하1층 B101호 ,202459.257859185--,443620.263219246--
1613,마크짐휘트니스,서초구,서울특별시 서초구 서초동 1536 7번지 진석빌딩 지하1층 ,200802.627197811--,442654.523592554--
1614,CN스포렉스,서초구,서울특별시 서초구 반포동 93 1번지 (5층6층) ,199780.786480486--,444178.175927435--
1615,듀발휘트니스,서초구,서울특별시 서초구 서초동 1671 5번지 서초리시온 2층 ,201295.700037578--,443474.524864903--
1616,마이짐(MY GYM),서초구,서울특별시 서초구 방배동 6 9번지 (지1층) ,199149.851990433--,443493.724925906--
1617,방배휘트니스클럽,서초구,서울특별시 서초구 방배동 795 23번지 2층 ,199054.848425499--,443409.885627839--
1618,제이디아이스포츠,서초구,서울특별시 서초구 서초동 1585 12번지 4층 ,200988.820600257--,442498.224344481--
1619,알로하짐,서초구,서울특별시 서초구 우면동 64 1번지 중평빌딩 ,202151.756671866--,440929.88771349-- 
1620,코리아짐,서초구,서울특별시 서초구 서초동 1321 5번지 3층 ,202135.705-----,443770.54----- 
