,0
0,동작구
1,양천구
2,강서구
3,성북구
4,마포구
5,강북구
6,은평구
7,용산구
8,송파구
9,광진구
10,서대문구
11,강동구
12,구로구
13,강남구
14,영등포구
15,서초구
16,금천구
17,성동구
18,도봉구
19,동대문구
20,종로구
21,관악구
22,노원구
23,중구
24,중랑구
