,0
0,강서구
1,송파구
2,종로구
3,중랑구
4,강동구
5,영등포구
6,용산구
7,관악구
8,양천구
9,성동구
10,도봉구
11,금천구
12,동작구
13,중구
14,구로구
15,노원구
16,서초구
17,은평구
18,마포구
19,광진구
20,서대문구
21,성북구
22,동대문구
23,강남구
24,강북구
